City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,linxia chengguanzhen,35.6003,103.2064,279.53,76,90,0.4,CN,1713478450
1,ushuaia,-54.8,-68.3,278.96,87,100,2.57,AR,1713478450
2,east london,-33.0153,27.9116,293.57,86,28,2.43,ZA,1713478450
3,klyuchi,52.2667,79.1667,287.15,80,86,5.23,RU,1713478454
4,ingeniero guillermo n. juarez,-23.9,-61.85,294.17,43,0,2.86,AR,1713478454
5,bethel,41.3712,-73.414,281.35,81,100,4.63,US,1713478454
6,port-aux-francais,-49.35,70.2167,277.8,92,80,15.73,TF,1713478455
7,la ronge,55.1001,-105.2842,269.68,93,100,7.76,CA,1713478456
8,saipan,15.1355,145.701,302.54,70,40,3.6,MP,1713478457
9,isafjordur,66.0755,-23.124,269.07,89,100,2.03,IS,1713478460
10,taitung city,22.7583,121.1444,296.46,85,95,2.9,TW,1713478463
11,lerwick,60.1545,-1.1494,279.15,76,68,10.97,GB,1713478464
12,edinburgh of the seven seas,-37.0676,-12.3116,287.54,68,83,12.16,SH,1713478464
13,puerto natales,-51.7236,-72.4875,280.74,96,100,1.89,CL,1713478465
14,idil,37.3411,41.8895,289.11,59,0,2.06,TR,1713478466
15,alofi,-19.0595,-169.9187,302.09,74,75,6.17,NU,1713478466
16,waitangi,-43.9535,-176.5597,289.16,96,100,2.24,NZ,1713478468
17,munnerstadt,50.25,10.1833,278.62,84,84,0.45,DE,1713478468
18,port mathurin,-19.6833,63.4167,299.39,62,71,8.8,MU,1713478468
19,thompson,55.7435,-97.8558,271.23,93,100,8.63,CA,1713478470
20,mount gambier,-37.8333,140.7667,286.35,61,80,4.69,AU,1713478470
21,port elizabeth,-33.918,25.5701,291.1,93,10,0.89,ZA,1713478470
22,papatowai,-46.5619,169.4708,283.49,98,100,3.52,NZ,1713478472
23,hamilton,39.1834,-84.5333,299.71,34,0,3.6,US,1713478382
24,uturoa,-16.7333,-151.4333,301.56,75,44,6.74,PF,1713478473
25,iqaluit,63.7506,-68.5145,265.7,87,24,5.04,CA,1713478475
26,flying fish cove,-10.4217,105.6791,299.97,78,75,4.63,CX,1713478475
27,ponta delgada,37.7333,-25.6667,291.59,88,40,4.12,PT,1713478477
28,happy valley-goose bay,53.3168,-60.3315,275.23,60,4,1.78,CA,1713478477
29,rameswaram,9.2833,79.3,302.79,81,40,9.04,IN,1713478477
